,,Batch1,Batch2,Batch3,Batch4,Batch5,Batch6,Batch7,TotalAvg
,Kurtosis,3.426777219,3.122960606,4.541322303,3.9668492,3.163472638,3.354131624,2.992871796,4.196043288
Sample21,Net Mean,-0.006973042,0.005850757,-0.000928342,-0.026339675,0.005435279,-0.001189969,0.006260629,-0.002554909
,Median,0.085753037,0.068993158,0.142786167,0.113665047,-0.059165273,0.142431018,0.00983912,0.085753037
,Max,17.03197392,14.79835945,15.68189648,12.7068431,15.27120664,14.43964517,13.99289606,17.03197392
,Min,-21.7868836,-22.2177361,-20.78437717,-12.33504336,-12.47061202,-17.2078797,-16.82180704,-22.2177361
,STD,4.202480079,4.351555977,4.667695714,3.649161883,3.64886243,4.105761838,4.05994868,4.111921771
,Variance,17.66083881,18.93603942,21.78738328,13.31638245,13.31419703,16.85728027,16.48318328,16.90790065
,Range,38.81885752,37.01609555,36.46627365,25.04188646,27.74181866,31.64752488,30.8147031,39.24971002
,Skewness,-0.066193827,-0.043530913,-0.092367531,-0.115098803,0.053112897,-0.104941051,-0.002644239,-0.064428229
,Kurtosis,4.342304924,4.030861596,3.870797044,3.09624306,3.31148867,3.663502539,3.187089289,3.837917458
Sample22,Net Mean,-0.004500382,0.005098118,0.002182929,-0.008906373,0.011807619,0.008546102,0.006976346,0.003029194
,Median,-0.038627756,-0.057162893,0.106933634,0.018951506,0.01188856,-0.073339578,0.016796875,0.01188856
,Max,14.72893543,10.65209256,14.90956424,10.40788649,10.20986291,10.27651203,11.38260709,14.90956424
,Min,-18.19342175,-17.93064102,-16.9561645,-10.99149914,-10.23182143,-12.24776199,-11.7724011,-18.19342175
,STD,3.557057123,3.863860562,3.81778377,3.130674594,3.047900061,3.248663348,3.269019806,3.432797047
,Variance,12.65265538,14.92941844,14.57547291,9.801123417,9.289694781,10.55381355,10.68649049,11.78409557
,Range,32.92235718,28.58273358,31.86572874,21.39938564,20.44168434,22.52427402,23.1550082,33.10298599
,Skewness,0.028782817,0.048341039,-0.082312707,-0.02669509,-0.0000797,0.075617881,-0.009012361,-0.007742403
,Kurtosis,4.003456512,4.175984926,3.828860225,3.010218318,3.075351244,3.005269475,3.201376133,3.744655973
Sample23,Net Mean,0.010659033,-0.007961767,-0.01553696,0.019326669,-0.008564005,-0.000464315,-0.000889211,-0.000490079
,Median,-0.105008433,-0.049827307,-0.121922201,0.027337864,-0.017650977,0.149492542,-0.040518693,-0.105008433
,Max,10.84959694,13.59221602,23.68441594,13.80602785,11.76322407,10.27350089,10.8072641,23.68441594
,Min,-10.0310346,-13.92956501,-16.37124184,-13.10509851,-10.0253856,-10.5092995,-13.67420021,-16.37124184
,STD,3.560723246,3.955288403,5.234877122,3.759370541,3.461203495,3.552391427,3.282355097,3.877280549
,Variance,12.67875004,15.64430635,27.40393848,14.13286686,11.97992963,12.61948485,10.77385499,15.03330446
,Range,20.88063154,27.52178103,40.05565778,26.91112636,21.78860967,20.78280039,24.48146431,40.05565778
,Skewness,0.097452785,0.031754099,0.060967186,-0.006392981,0.007876138,-0.126638795,0.036220471,0.080869841
,Kurtosis,2.844649104,3.163628435,4.269707764,3.781022788,3.059328785,2.812832418,3.081042004,4.069448083
Sample24,Net Mean,0.025436859,0.010624289,0.001946417,0.034114501,0.015551646,0.019855428,0.009723918,0.016750437
,Median,-0.013072048,0.083443599,-0.08718285,0.098805702,0.012898586,0.04564149,0.01055566,0.012898586
,Max,9.121522436,8.097476308,13.97050617,8.45142431,8.588709843,7.297059841,9.513154216,13.97050617
,Min,-9.728566207,-9.258265694,-12.10133029,-8.901546686,-8.966200485,-9.130838461,-7.528373812,-12.10133029
,STD,2.800865816,2.909137493,3.565315106,2.574834602,2.57611709,2.582957504,2.554651144,2.815352465
,Variance,7.844849318,8.463080952,12.71147181,6.629773228,6.636379263,6.671669468,6.526242469,7.9262095
,Range,18.85008864,17.355742,26.07183647,17.352971,17.55491033,16.4278983,17.04152803,26.07183646
,Skewness,0.041246789,-0.075093711,0.074996961,-0.075373231,0.003089603,-0.029949461,-0.000976738,0.004104478
,Kurtosis,3.110921847,2.748771066,3.697987871,3.310009527,3.158236907,3.056916025,3.15683594,3.503982227
Sample25,Net Mean,0.025259081,0.008161748,0.017510768,0.026917731,0.030226585,0.029061188,0.021547235,0.022669191
,Median,0.046277554,-0.082129814,0.006942573,-0.05736845,0.072949959,-0.089988923,0.157985582,0.006942573
,Max,15.9958089,14.41360979,12.11334236,10.53881844,12.00340371,12.79393935,9.46321656,15.9958089
,Min,-13.56643316,-21.65598352,-10.90308507,-13.47156157,-10.94227132,-9.110308673,-13.20347537,-21.65598352
,STD,3.501860023,3.994042776,3.585426766,3.078758208,2.899439194,3.119061558,2.993854572,3.330548997
,Variance,12.26302362,15.9523777,12.8552851,9.478752103,8.406747638,9.728545002,8.963165197,11.09255662
,Range,29.56224206,36.0695933,23.01642743,24.01038001,22.94567503,21.90424802,22.66669193,37.65179242
,Skewness,-0.018006265,0.067819676,0.008842626,0.082130043,-0.044205142,0.114505702,-0.136718411,0.014165789
,Kurtosis,4.302113714,6.207195857,3.253018852,3.38452378,3.297806197,3.20649976,3.487874888,4.51053837
Sample26,Net Mean,0.003405967,0.014124489,0.021423901,-0.011349241,0.031891066,0.02049056,0.021909007,0.014556536
,Median,0.178792036,-0.047319933,0.065671527,-0.120612869,0.220964415,0.068673911,0.117479164,0.068673911
,Max,18.78034379,16.26377855,14.45342651,14.25534293,11.19837535,13.98929341,13.06534784,18.78034379
,Min,-17.86617371,-25.55649419,-26.02842327,-20.87416771,-14.15493368,-13.69818599,-15.53492452,-26.02842327
,STD,4.517674495,4.961275577,5.273790199,4.291371769,3.766331546,4.20749091,4.115399482,4.473367522
,Variance,20.40938284,24.61425535,27.81286307,18.41587166,14.18525331,17.70297975,16.9365129,20.01101698
,Range,36.6465175,41.82027274,40.48184978,35.12951064,25.35330904,27.68747941,28.60027236,44.80876706
,Skewness,-0.116466605,0.03715441,-0.025170299,0.076383707,-0.150602792,-0.034355405,-0.069667713,-0.036293044
,Kurtosis,4.265760211,4.837978235,3.740960553,3.563607607,3.264310203,3.142845682,3.168832745,4.053105861
Sample27,Net Mean,0.034910967,0.016131605,0.043645818,0.028875914,0.045504917,0.040362504,0.042879379,0.036044443
,Median,0.153403587,0.091707305,0.071889174,0.16949274,-0.046555711,0.123371966,-0.042481532,0.091707305
,Max,12.09295992,10.42736809,14.22288884,10.0477491,8.992531874,8.76742956,9.337544056,14.22288884
,Min,-15.44193265,-13.87010834,-12.19110864,-11.60013224,-8.245379645,-9.200030002,-9.117574273,-15.44193265
,STD,3.301360398,3.336084401,3.904375357,3.021382523,2.737140906,2.818464772,2.906976657,3.168765785
,Variance,10.89898048,11.12945913,15.24414692,9.128752349,7.491940338,7.943743668,8.450513286,10.0410766
,Range,27.53489256,24.29747642,26.41399748,21.64788134,17.23791152,17.96745956,18.45511833,29.66482149
,Skewness,-0.107676174,-0.06796204,-0.021701312,-0.139621672,0.100901595,-0.08835604,0.088092463,-0.052698305
,Kurtosis,3.967310266,3.541596457,3.397112196,3.218348961,3.133839254,3.055886265,2.991345729,3.613015896
Sample28,Net Mean,0.045123007,0.012673084,0.037744566,0.042982416,0.037288282,0.037667687,0.030931252,0.034915756
,Median,0.182203421,0.070107034,-0.052449133,0.132088419,0.067166916,-0.085559007,0.014191122,0.067166916
,Max,10.50907161,8.636290154,11.74502057,8.536358517,7.460311412,7.196566784,8.031631665,11.74502057
,Min,-7.21488403,-11.8030071,-9.951017683,-7.971162298,-8.939116595,-8.79133376,-7.729138931,-11.8030071
,STD,2.649250849,3.029216718,3.275273833,2.500466886,2.292992778,2.340434848,2.493001385,2.675949615
,Variance,7.018530062,9.176153922,10.72741868,6.25233465,5.25781588,5.477635278,6.215055905,7.16070634
,Range,17.72395564,20.43929725,21.69603826,16.50752082,16.39942801,15.98790054,15.7607706,23.54802767
,Skewness,-0.155229258,-0.056880002,0.082613275,-0.106907238,-0.039091227,0.157953588,0.020144549,-0.036156689
,Kurtosis,2.879208505,3.402916974,3.54218386,3.311015297,3.418331387,3.01826696,3.052561952,3.533811184
Sample29,Net Mean,0.024353713,0.012033175,0.022328394,0.027528193,0.032755374,0.028223413,0.025180155,0.024628917
,Median,0.018910022,0.109124658,0.066874835,0.01527969,0.121237183,-0.016007038,-0.00433296,0.018910022
,Max,33.46697829,27.58048656,22.58826763,22.97828877,13.53630738,23.72803776,13.70095983,33.46697829
,Min,-20.26038475,-28.80681001,-22.23975277,-27.88590858,-17.77254473,-14.75132393,-16.68124835,-28.80681001
,STD,4.885180007,5.387918304,5.848802015,4.955454827,4.04924293,4.777778634,4.161837085,4.901954272
,Variance,23.86498371,29.02966365,34.20848501,24.55653254,16.39636831,22.82716868,17.32088792,24.02915569
,Range,53.72736304,56.38729657,44.8280204,50.86419735,31.30885212,38.47936169,30.38220819,62.2737883
,Skewness,0.003342982,-0.054060666,-0.022849008,0.007415164,-0.065554335,0.027772604,0.021274101,0.003499968
,Kurtosis,7.265110361,6.724976933,3.766079053,5.683576628,3.872112146,4.134061301,3.566503767,5.419528183
Sample30,Net Mean,0.009117447,-0.006783434,0.011343357,-0.002358551,0.010154966,0.010835942,0.01946689,0.00739666
,Median,0.044375914,0.160936297,-0.008203696,0.016821316,-0.023079895,0.118775218,-0.029843645,0.016821316
,Max,12.79197403,9.353967677,16.8744977,12.92296315,13.70200356,10.25155415,12.18969395,16.8744977
,Min,-13.51803222,-12.62831074,-17.44519521,-13.21823046,-10.07265416,-9.995756488,-8.949638315,-17.44519521
,STD,3.804782141,3.4998434,4.638851305,3.697358864,3.180438751,3.471942422,3.215280314,3.672723343
,Variance,14.47636714,12.24890382,21.51894143,13.67046257,10.11519065,12.05438418,10.3380275,13.48889676
,Range,26.31000624,21.98227841,34.31969291,26.1411936,23.77465772,20.24731064,21.13933226,34.31969291
,Skewness,-0.027800646,-0.143766202,0.01264131,-0.015562352,0.031349317,-0.093267051,0.04600893,-0.007698366
,Kurtosis,3.085763096,2.864290661,3.540375411,3.308115215,3.30136217,2.835151745,3.100508347,3.466555111
Sample31,Net Mean,0.01224045,0.008599009,0.00672073,0.01554959,0.01937039,0.007996549,0.018012382,0.0126413
,Median,0.030978939,0.106095867,0.289559293,0.158711432,-0.042298297,-0.165248075,-0.136927181,0.030978939
,Max,27.55783819,19.61551523,23.29722954,17.22063732,16.33997066,15.94229543,15.98369753,27.55783819
,Min,-16.72789614,-15.97489926,-21.67874572,-19.30672784,-14.61429462,-13.61898694,-14.72694411,-21.67874572
,STD,4.669691425,4.806695133,6.035041617,4.697492739,4.139797178,4.5300151,3.963457462,4.732357522
,Variance,21.80601801,23.1043181,36.42172732,22.06643803,17.13792067,20.5210368,15.70899505,22.39520771
,Range,44.28573433,35.59041449,44.97597525,36.52736516,30.95426528,29.56128237,30.71064165,49.23658391
,Skewness,-0.012038368,-0.060850661,-0.14059815,-0.091428673,0.044689644,0.114731157,0.117276063,-0.011624844
,Kurtosis,4.721966359,3.839167961,3.491301484,3.887351013,3.526222857,3.066219168,3.561555237,3.994713163
Sample32,Net Mean,-0.006201092,-0.014353576,-0.014905841,-0.009688845,-0.008493775,-0.024370679,-0.0000732,-0.011155287
,Median,0.224280069,-0.023761119,-0.090165345,0.116220849,-0.084682933,0.030236677,-0.153358371,-0.153358371
,Max,16.37310089,12.09033774,21.24097533,11.21631453,15.0698873,13.99639978,14.78757851,21.24097533
,Min,-13.39132814,-14.3324264,-19.50713734,-17.5360169,-12.86218867,-13.13443038,-10.78994257,-19.50713734
,STD,4.330199944,4.216109022,5.561496742,4.213801289,4.12925993,4.253163724,3.704358027,4.37647986
,Variance,18.75063156,17.77557529,30.93024601,17.7561213,17.05078757,18.08940167,13.72226839,19.15357597
,Range,29.76442903,26.42276413,40.74811267,28.75233143,27.93207597,27.13083016,25.57752108,40.74811267
,Skewness,-0.159679343,0.006693999,0.040596718,-0.089640934,0.055353133,-0.038517697,0.12413908,0.097477714
,Kurtosis,2.959261374,2.888267014,3.341653327,3.149191365,3.34434872,3.026539919,3.637030743,3.423005382
Sample33,Net Mean,-10.19963393,-39.81511198,-46.87683938,-102.534587,-166.3053025,-229.590586,-158.2218214,-107.649126
,Median,-4.39468589,-47.44148135,-49.28522794,-103.7851272,-150.2381664,-225.3942775,-153.70691,-225.3942775
,Max,23.26151301,36.73023812,48.13646705,-24.20714928,-74.20705689,-170.1443796,-110.2382403,48.13646705
,Min,-151.3319144,-128.831956,-99.64450989,-160.8631468,-257.5192182,-421.3626654,-276.9566823,-421.3626654
,STD,25.46272074,34.21815449,32.74837584,21.11184952,44.93215541,34.49685366,27.44094217,32.29182861
,Variance,648.3501473,1170.882097,1072.45612,445.7101904,2018.898589,1190.032913,753.0053073,1042.762195
,Range,174.5934274,165.5621941,147.7809769,136.6559975,183.3121613,251.2182858,166.7184419,469.4991325
,Skewness,-0.68393493,0.668624841,0.220626688,0.177702132,-1.072759762,-0.364929667,-0.49359581,10.93884954
,Kurtosis,18.57826165,2.808178664,2.558209792,4.530033058,2.097886094,7.559272375,8.445629667,5.195669866
Sample34,Net Mean,31.41365181,51.70343637,42.4417076,20.09647979,5.964371575,42.7340519,-14.83875839,25.64499152
,Median,32.76019337,49.91641167,45.88516912,13.41647912,9.838360727,34.4789402,-25.11469969,34.4789402
,Max,83.94759879,129.1975152,124.7600234,170.6349386,61.60389008,435.1344499,59.60389377,435.1344499
,Min,-33.86468352,-18.11471262,-14.48971932,-18.36471216,-47.98965742,-15.86471678,-67.14587203,-67.14587203
,STD,29.86429406,25.45088479,27.06893723,25.31525965,26.33078233,50.86744171,33.6615321,32.35322637
,Variance,891.8760594,647.7475364,732.7273625,640.8623709,693.3100979,2587.496626,1133.098743,1046.731257
,Range,117.8122823,147.3122278,139.2497427,188.9996508,109.5935475,450.9991667,126.7497658,502.2803219
,Skewness,-0.135266037,0.210643918,-0.38163244,0.79161748,-0.441383295,0.486860244,0.915817611,-0.819140747
,Kurtosis,1.670176762,3.73768308,2.370817561,9.638496505,1.881620868,34.08159729,1.742309642,31.22105906
Sample35,Net Mean,5.7560115,-5.523698561,-3.807555899,27.87977704,6.219281043,35.06905412,71.08689122,19.52568007
,Median,5.12482777,-6.000151674,-4.078280225,26.78103775,4.890453203,33.12477603,75.60907253,33.12477603
,Max,48.67162231,31.04665487,31.3591543,69.54658374,43.39038207,77.82781843,106.5465154,106.5465154
,Min,-57.6719312,-51.51569257,-39.76571428,-14.64076071,-26.20323934,-0.859536172,26.35916353,-57.6719312
,STD,25.75307455,16.96997472,16.35274441,22.04646003,13.69421395,16.38707976,17.68544562,18.79780537
,Variance,663.2208486,287.980042,267.4122497,486.0464001,187.5314957,268.536383,312.7749868,353.3574866
,Range,106.3435535,82.56234745,71.12486858,84.18734444,69.59362141,78.68735461,80.18735183,164.2184466
,Skewness,0.073527189,0.084228725,0.049665852,0.149512342,0.291107144,0.355941044,-0.767102183,-2.170321859
,Kurtosis,2.186012009,2.720829852,2.144369778,1.647654262,2.712350123,2.711614248,1.972094265,2.532667128
Sample36,Net Mean,15.48990736,-17.56406802,-58.90942349,-58.75580506,-3.969339454,-1.964161952,17.67412099,-15.42839566
,Median,2.786453185,-22.22912559,-55.38531433,-56.18218786,-5.119782207,3.145827521,18.4739242,-56.18218786
,Max,158.6299152,91.38003949,45.22387477,36.19264146,76.0050679,99.53627442,109.6925056,158.6299152
,Min,-75.43215229,-72.49465771,-120.0258199,-131.7445482,-53.7759423,-61.61967781,-55.96343826,-131.7445482
,STD,41.29571361,31.29491115,28.37935791,28.93119902,19.22244663,27.1054137,30.83877491,30.19542445
,Variance,1705.335963,979.3714641,805.3879555,837.0142765,369.5024545,734.7034519,951.0300377,911.7636575
,Range,234.0620675,163.8746972,165.2496947,167.9371897,129.7810102,161.1559522,165.6559439,290.3744634
,Skewness,0.922864849,0.447202826,-0.372535823,-0.266869396,0.179546773,-0.565568509,-0.077804959,4.049003411
,Kurtosis,2.464798204,2.895257589,2.807997189,2.732055338,4.286011211,2.836469199,2.935246653,3.170825773
Sample37,Net Mean,837.4733026,257.331079,-780.097469,4000.473064,5962.536461,1958.967835,-221.1550616,1716.504173
,Median,954.7277681,319.2179405,-998.8747807,4517.150352,5666.501722,3634.545331,-396.8201078,3634.545331
,Max,1994.536284,3338.209961,1614.944527,5136.944002,7790.105309,5459.108916,1718.80504,7790.105309
,Min,-637.8723149,-2749.48046,-2241.488285,1614.944527,4004.469193,-3410.020961,-1443.606522,-3410.020961
,STD,763.9399215,2012.017809,1039.791355,1046.85787,1134.383346,2965.472672,869.3111018,1587.696124
,Variance,583604.2037,4048215.665,1081166.061,1095911.401,1286825.575,8794028.171,755701.7917,2520778.981
,Range,2632.408599,6087.690421,3856.432811,3521.999476,3785.636116,8869.129876,3162.411562,11200.12627
,Skewness,-0.460459503,-0.092275816,0.631215034,-1.480651682,0.78289603,-1.695086431,0.606221567,-3.624196966
,Kurtosis,1.862947614,1.509942029,2.882674656,2.580027677,1.752430484,1.693242483,3.102084525,3.764994403
Sample38,Net Mean,168.3101816,118.082003,-81.5202758,387.278527,1034.116009,472.5471954,994.1725066,441.8551638
,Median,180.4204023,219.9047043,-86.03223036,433.5761845,1125.293656,414.0918455,1150.809234,180.4204023
,Max,2050.151323,1999.182667,1917.651567,2921.712212,2504.212984,2204.338538,2810.368668,2921.712212
,Min,-2427.965403,-2096.934765,-2124.559714,-2184.090854,-1601.56068,-1375.342348,-1539.842044,-2427.965403
,STD,978.6221608,921.5746388,923.1230921,1075.36415,752.0610365,686.8940173,937.2635812,904.8636567
,Variance,957701.3337,849299.8149,852156.2431,1156408.055,565595.8026,471823.391,878463.0206,818778.2373
,Range,4478.116726,4096.117431,4042.211281,5105.803066,4105.773664,3579.680886,4350.210712,5349.677615
,Skewness,-0.037124299,-0.331463228,0.014663119,-0.129159013,-0.363711093,0.255302922,-0.501363963,0.866765152
,Kurtosis,2.426151146,2.002159646,1.947142086,1.959605046,3.880578406,2.440955127,2.927308305,2.503355261
Sample39,Net Mean,8890.194447,11504.60199,-19251.32737,-2407.106053,12831.02581,-4207.155919,-8829.736653,-209.9291069
,Median,8966.81953,17383.68379,-20070.33678,-1635.558382,12761.43959,-1691.954009,-8972.849203,-8972.849203
,Max,25225.36147,26748.77582,-12961.06983,11151.35664,22286.92957,9813.486349,4321.382326,26748.77582
,Min,-8172.080125,-16235.9224,-25044.87054,-17438.54084,2345.826416,-24071.7408,-21352.54385,-25044.87054
,STD,8308.22297,13822.92787,3122.879735,7174.921854,4652.28818,9206.988373,7522.277331,8318.042882
,Variance,69026568.93,191073334.9,9752377.84,51479503.61,21643785.31,84768634.91,56584656.25,69189837.39
,Range,33397.4416,42984.69822,12083.80071,28589.89748,19941.10316,33885.22715,25673.92618,51793.64636
,Skewness,-0.027668402,-1.275941361,0.786782856,-0.322601843,0.044872259,-0.819551999,0.057075488,3.1604502
,Kurtosis,2.085563011,2.136151759,2.108465017,2.085262794,2.37272898,2.299655514,1.646523452,3.478318561
Sample40,Net Mean,-0.006925258,-0.011630927,-0.016186425,-0.062842077,-0.075777675,-0.051773642,-0.071217837,-0.042336263
,Median,-0.009609252,-0.010609239,-0.015609175,-0.061608585,-0.078608368,-0.051608714,-0.07060847,-0.051608714
,Max,0.006390543,-0.005609303,-0.008609265,-0.03160897,-0.058608624,-0.049608739,-0.052608701,0.006390543
,Min,-0.012609213,-0.018609137,-0.03160897,-0.084608291,-0.084608291,-0.058608624,-0.097608124,-0.097608124
,STD,0.005463111,0.004043811,0.005468839,0.017475905,0.00749087,0.001872813,0.011923731,0.009128522
,Variance,0.0000298,0.0000164,0.0000299,0.000305407,0.0000561,0.00000351,0.000142175,0.0000833
,Range,0.018999757,0.012999833,0.022999705,0.052999321,0.025999667,0.008999885,0.044999423,0.103998667
,Skewness,1.473881964,-0.757964401,-0.31665748,-0.211747166,1.133657145,-0.264193598,-0.153316235,3.047300944
,Kurtosis,2.546714636,1.626192281,3.122285854,1.643612489,2.394868901,5.884304759,2.155867862,4.320217309
